EstadoCivil;Sexo;Estrato;TipoVivienda;LugarNacimiento; FechaNacimiento ;Edad;Nacionalidad; Ingresos ;OtrosIngresos; Gastos ;Activos;OtrosPasivos;FechaSolicitud; CapitalSolicitado ;Plazo;Score;Aprobado
1;2;1;3;11001;1/08/88;34;COLOMBIANO;5032000;0;2649526;0;0;1/04/17;78436802,06;47;914;1
1;2;2;3;11001;2/04/94;28;COLOMBIANO;4900000;NULL;1943000;80000000;NULL;20/09/13;60000000;48;808;1
1;2;3;3;11001;17/06/94;28;COLOMBIANO;5000000;0;2673000;0;0;17/01/17;60000000;60;;1
1;1;3;3;11001;31/05/96;26;Colombiano;9023918;0;4950000;720000000;0;18/08/17;72000000;48;;1
1;1;3;3;11001;31/05/96;26;Colombiano;9023918;0;4950000;720000000;0;24/03/19;65711446,16;47;;1
1;1;3;3;11001;31/05/96;26;Colombiano;9023918;0;4950000;720000000;0;24/01/19;2784412;12;;1
1;1;3;3;11001;31/05/96;26;Colombiano;9023918;0;4950000;720000000;0;24/01/19;58680066;48;;1
1;1;3;3;11001;31/05/96;26;Colombiano;9023918;0;4950000;720000000;0;24/12/19;56190652,86;38;;1
2;1;2;3;11001;23/02/87;35;COLOMBIANO;5900000;NULL;2203000;24000000;NULL;22/11/13;100000000;48;952;1
2;1;1;1;5002;15/03/54;68;COLOMBIANA;2970000;0;1450000;52000000;0;26/12/14;35000000;48;;1
5;1;3;3;11001;29/07/86;36;Colombiano;4370857;0;2240000;0;0;21/02/18;55000000;60;921;1
5;1;3;3;11001;29/07/86;36;Colombiano;4370857;0;2240000;0;0;25/02/18;63943413,36;60;921;1
5;2;2;3;11001;17/08/88;34;COLOMBIANA;5330000;0;2509400;25000000;0;24/10/14;84400000;48;901;1
