EstadoCivil;Sexo;Estrato;TipoVivienda;LugarNacimiento; FechaNacimiento ;Edad;Nacionalidad; Ingresos ;OtrosIngresos; Gastos ;Activos;OtrosPasivos;FechaSolicitud; CapitalSolicitado ;Plazo;Score;Aprobado
2;1;2;1;15317;2/04/80;42;;3700000;0;1700000;1250000000;0;12/08/14;46500000;36;931;1
2;1;2;1;17001;8/02/75;47;Colombiano;12000000;0;8907000;1106484000;0;18/12/14;115000000;36;967;1
2;1;2;1;17001;8/02/75;47;Colombiano;12000000;0;8907000;1106484000;0;20/05/15;62000000;36;967;1
2;1;2;1;17001;8/02/75;47;Colombiano;12000000;0;8907000;1106484000;0;24/02/16;100000000;36;967;1
2;1;2;1;17001;8/02/75;47;Colombiano;12000000;0;8907000;1106484000;0;21/03/17;67000000;36;967;1
2;1;2;1;17001;8/02/75;47;Colombiano;12000000;0;8907000;1106484000;0;26/07/18;45000000;36;967;1
2;1;2;1;17001;8/02/75;47;Colombiano;12000000;0;8907000;1106484000;0;31/12/18;43519227,33;31;967;1
5;0;3;3;25183;30/05/76;46;Colombiano;3500000;0;3334000;0;0;9/04/14;48000000;48;;1
2;1;2;1;11001;11/11/74;48;Colombiano;5448358;0;3031236;720000000;0;18/05/18;68000000;48;896;1
2;1;2;1;11001;11/11/74;48;Colombiano;5448358;0;3031236;720000000;0;15/05/18;80392101,35;48;896;1
2;1;2;1;11001;11/11/74;48;Colombiano;5448358;0;3031236;720000000;0;7/05/20;310633;12;896;1
2;1;2;1;11001;11/11/74;48;Colombiano;5448358;0;3031236;720000000;0;16/02/21;3552000;4;896;1
2;1;2;1;11001;11/11/74;48;Colombiano;5448358;0;3031236;720000000;0;5/02/21;45604677;60;896;1
2;1;2;1;11001;11/11/74;48;Colombiano;5448358;0;3031236;720000000;0;5/06/21;59886813,39;60;896;1
5;1;2;3;18094;6/05/77;45;Colombiano;6523087;0;2930000;720000000;0;16/08/19;62000000;60;;1
5;1;2;3;18094;6/05/77;45;Colombiano;6523087;0;2930000;720000000;0;13/03/20;1792872;18;;1
5;1;2;3;18094;6/05/77;45;Colombiano;6523087;0;2930000;720000000;0;16/08/19;75816709,81;60;;1
5;1;3;1;11001;13/12/76;45;Colombiano;3975000;0;1091000;32500000;0;10/05/19;66000000;60;893;1
5;1;3;1;11001;13/12/76;45;Colombiano;3975000;0;1091000;32500000;0;10/05/19;66000166,32;60;893;1
5;1;2;1;15600;25/04/76;46;COLOMBIANO;5700000;0;2981000;0;0;27/09/16;117000000;60;;1
5;1;2;1;15600;25/04/76;46;COLOMBIANO;5700000;0;2981000;0;0;1/10/16;145646678;60;;1
2;1;3;1;11001;15/02/75;47;Colombiano;7250000;0;4980000;300000000;0;29/12/14;65000000;48;;1
2;1;3;1;11001;15/02/75;47;Colombiano;7250000;0;4980000;300000000;0;1/12/18;52107737,09;37;;1
2;1;3;1;11001;15/02/75;47;Colombiano;7250000;0;4980000;300000000;0;28/12/17;56100000;48;;1
2;1;3;3;11001;27/01/76;46;COLOMBIANO;4700000;NULL;2400000;34000000;NULL;30/01/13;53000000;48;937;1
2;1;2;1;25293;8/08/76;46;COLOMBIANO;4700000;0;2706000;85000000;0;17/09/14;33000000;48;926;1
5;1;3;3;15185;30/01/77;45;Colombiano;4950000;0;1719650;0;0;1/12/19;51482075,89;48;950;1
5;1;3;3;15185;30/01/77;45;Colombiano;4950000;0;1719650;0;0;1/12/19;59141789,7;48;950;1
5;1;3;3;15185;30/01/77;45;Colombiano;4950000;0;1719650;0;0;26/11/19;50000000;48;950;1
5;1;3;3;15185;30/01/77;45;Colombiano;4950000;0;1719650;0;0;1/08/20;53205647,68;40;950;1
5;1;3;3;15185;30/01/77;45;Colombiano;4950000;0;1719650;0;0;21/10/21;42114000;48;950;1
5;1;3;3;15185;30/01/77;45;Colombiano;4950000;0;1719650;0;0;15/12/21;40359250;46;950;1
5;1;2;3;BOGOTA;13/07/76;46;COLOMBIANO;4750000;NULL;1900000;65000000;NULL;22/11/12;65000000;36;854;1
2;1;3;1;25596;26/06/78;44;COLOMBIANO;7317216;0;3262167;168000000;0;25/11/14;81000000;48;;1
2;1;2;1;25019;22/11/80;41;COLOMBIANO;4680000;0;1800000;140000000;0;9/09/15;70000000;60;920;1
2;1;2;1;25019;22/11/80;41;COLOMBIANO;4680000;0;1800000;140000000;0;7/09/15;88500727,19;60;920;1
5;1;2;1;11001;24/01/77;45;COLOMBIANO;6900000;0;4020986;0;0;13/04/15;58000000;48;944;1
5;1;2;1;11001;24/01/77;45;COLOMBIANO;6900000;0;4020986;0;0;28/04/15;30000000;24;944;1
5;1;2;1;11001;24/01/77;45;COLOMBIANO;6900000;0;4020986;0;0;4/05/17;38287936,52;23;944;1
5;1;2;3;11001;7/02/76;46;Colombiano;5019000;0;1612000;900000000;0;16/08/19;75000000;60;908;1
5;1;2;3;11001;7/02/76;46;Colombiano;5019000;0;1612000;900000000;0;16/08/19;91713724,56;60;908;1
5;1;2;1;11001;19/12/77;44;Colombiano;5660000;0;2670000;1120000000;0;21/04/17;85000000;60;;1
5;1;2;1;11001;19/12/77;44;Colombiano;5660000;0;2670000;1120000000;0;24/09/17;109786276,9;55;;1
2;1;2;1;15810;7/05/76;46;COLOMBIANO;6000000;0;3749000;2800000000;0;14/12/15;73942813,03;60;;1
2;1;2;1;15810;7/05/76;46;COLOMBIANO;6000000;0;3749000;2800000000;0;4/01/16;60000000;60;;1
2;1;2;1;15810;7/05/76;46;COLOMBIANO;6000000;0;3749000;2800000000;0;14/11/19;21006958,84;13;;1
2;1;4;1;11001;2/10/76;46;Colombiano;6743400;0;5631775;0;0;21/10/15;94000000;60;923;1
2;1;3;1;11001;24/10/76;46;Colombiano;11609000;0;6219000;70000000;0;29/10/17;100131390,2;60;;1
2;1;3;1;11001;24/10/76;46;Colombiano;11609000;0;6219000;70000000;0;24/10/17;85000000;60;;1
5;1;2;3;17662;17/06/77;45;COLOMBIANO;5900000;0;1850000;1016100000;0;24/03/15;114000000;48;957;1
5;1;2;3;17662;17/06/77;45;COLOMBIANO;5900000;0;1850000;1016100000;0;18/09/13;40000000;30;957;1
5;1;3;1;25718;13/11/77;45;Colombiano;8100000;0;3348000;150000000;0;25/09/19;35000000;48;857;1
5;1;3;1;25718;13/11/77;45;Colombiano;8100000;0;3348000;150000000;0;25/09/19;69000000;60;857;1
5;1;3;1;25718;13/11/77;45;Colombiano;8100000;0;3348000;150000000;0;25/09/19;42058088,82;48;857;1
