EstadoCivil;Sexo;Estrato;TipoVivienda;LugarNacimiento; FechaNacimiento ;Edad;Nacionalidad; Ingresos ;OtrosIngresos; Gastos ;Activos;OtrosPasivos;FechaSolicitud; CapitalSolicitado ;Plazo;Score;Aprobado
2;1;3;2;50001;15/03/90;32;Colombiano;3690837;0;2542574;0;0;6/12/18;12475934;24;804;1
2;1;3;2;50001;15/03/90;32;Colombiano;3690837;0;2542574;0;0;7/12/17;15244964;36;804;1
5;1;2;3;41001;30/05/96;26;COLOMBIANO;3640000;0;2279000;100000000;0;20/06/16;34000000;48;741;1
2;1;2;2;86885;10/07/88;34;COLOMBIANO;4434303;0;1985636;0;0;22/04/15;58000000;48;;1
1;2;3;3;11001;26/09/85;37;Colombiano;5500000;0;6251000;1500000000;0;5/10/16;87000000;36;;1
1;2;3;3;11001;26/09/85;37;Colombiano;5500000;0;6251000;1500000000;0;16/10/16;99086757;36;;1
1;1;4;2;50226;26/10/85;37;COLOMBIANO;3735640;0;1507556;0;0;6/10/16;28000000;36;;1
1;1;2;3;5001;18/04/92;30;Colombiano;3835571;0;2178301;0;0;7/05/15;60000000;48;285;1
5;1;2;3;25307;18/07/70;52;Colombiano;4612000;0;36000;0;0;14/08/19;72000000;60;;1
5;1;2;3;25307;18/07/70;52;Colombiano;4612000;0;36000;0;0;14/08/19;88040230;60;;1
4;1;2;3;25899;24/12/62;59;COLOMBIANO;5265034;NULL;3094000;95000000;NULL;21/03/13;55000000;48;940;1
2;0;3;3;15835;28/03/56;66;Colombiano;4568894;0;1897254;0;0;24/08/18;31000000;36;;1
2;0;3;3;15835;28/03/56;66;Colombiano;4568894;0;1897254;0;0;29/08/18;34272424;36;;1
4;1;1;1;25151;4/09/64;58;Colombiano;3961000;0;0;840000000;0;4/10/19;63000000;48;934;1
4;1;1;1;25151;4/09/64;58;Colombiano;3961000;0;0;840000000;0;4/10/19;76311255;48;934;1
5;1;3;3;25151;10/11/63;59;COLOMBIANA;2500000;0;1450000;0;0;20/02/15;37000000;48;;1
2;1;2;1;25151;5/01/69;53;Colombiano;3225000;0;155000;1020000000;0;31/07/19;65000000;60;;1
2;1;2;1;25151;5/01/69;53;Colombiano;3225000;0;155000;1020000000;0;2/08/19;79480751;60;;1
2;1;2;1;25178;9/04/70;52;COLOMBIANO;42000000;0;37283975;266000000;0;30/10/14;34000000;36;956;1
2;1;2;1;25178;9/04/70;52;COLOMBIANO;42000000;0;37283975;266000000;0;15/07/14;20000000;24;956;1
5;1;2;3;25178;17/02/76;46;Colombiano;3000000;0;1168000;12000000;0;25/04/16;88000000;60;;1
5;1;2;3;25178;17/02/76;46;Colombiano;3000000;0;1168000;12000000;0;30/04/16;109151721;60;;1
1;1;2;3;;3/10/79;43;Colombiano;3805000;0;1917000;990000000;0;23/03/18;46000000;60;870;1
1;1;2;3;;3/10/79;43;Colombiano;3805000;0;1917000;990000000;0;28/05/18;56560664;58;870;1
5;1;3;3;25862;15/10/69;53;Colombiano;3000000;0;1909000;0;0;18/12/17;81299007;60;;1
5;1;3;3;25862;15/10/69;53;Colombiano;3000000;0;1909000;0;0;13/12/17;65000000;60;;1
1;2;2;1;5001;7/07/96;26;COLOMBIANO;1960000;0;1050000;152000000;0;30/11/15;16000000;36;537;1
4;1;2;3;41001;13/05/53;69;COLOMBIANO;2380000;0;1350000;0;0;11/02/16;25000000;60;807;1
4;1;2;3;41001;13/05/53;69;COLOMBIANO;2380000;0;1350000;0;0;29/01/16;30539551;60;807;1
2;1;2;3;41020;4/06/59;63;COLOMBIANO;2520000;0;1625000;0;0;21/09/15;33000000;60;851;1
2;1;2;3;41020;4/06/59;63;COLOMBIANO;2520000;0;1625000;0;0;3/01/17;25659284;48;851;1
2;1;2;3;41020;4/06/59;63;COLOMBIANO;2520000;0;1625000;0;0;31/12/16;30186846;48;851;1
2;1;2;3;41020;4/06/59;63;COLOMBIANO;2520000;0;1625000;0;0;30/09/20;2351107;24;851;1
5;1;1;1;41001;13/01/63;59;Colombiano;6360740;0;5589000;990000000;0;1/03/17;40000000;60;;1
